

Bitcoin,"$116,622.80",0.18%,"$2,321,221,311,563",2025-08-08 20:21:18
Ethereum,"$3,973.50",4.17%,"$479,638,752,778",2025-08-08 20:21:18
XRP,$3.28,7.69%,"$194,732,061,039",2025-08-08 20:21:19
Tether,$1.00,0.02%,"$164,352,430,898",2025-08-08 20:21:20
BNB,$788.57,2.01%,"$109,838,749,432",2025-08-08 20:21:20
Solana,$176.13,3.26%,"$94,984,202,342",2025-08-08 20:21:20
USDC,$0.9997,0.02%,"$64,673,810,506",2025-08-08 20:21:20
Dogecoin,$0.2235,4.83%,"$33,629,027,724",2025-08-08 20:21:20
TRON,$0.3389,0.45%,"$32,095,395,020",2025-08-08 20:21:21
Cardano,$0.7898,3.78%,"$27,981,067,927",2025-08-08 20:21:21

